game_id,team_id_home,team_id_away,pts_paint_home,pts_paint_away,pts_2nd_chance_home,pts_2nd_chance_away,pts_fb_home,pts_fb_away,lead_changes,times_tied,team_turnovers_home,team_turnovers_away,total_turnovers_home,total_turnovers_away,team_rebounds_home,team_rebounds_away,pts_off_to_home,pts_off_to_away
29600058,1610612763,1610612739,36,40,13,18,13,12,2,3,1.0,0.0,15.0,18.0,7.0,11.0,0.0,0.0
29600065,1610612754,1610612764,48,36,17,20,18,15,20,10,0.0,1.0,18.0,16.0,9.0,14.0,0.0,0.0
29600064,1610612766,1610612749,30,36,5,11,5,8,11,8,0.0,1.0,10.0,12.0,8.0,17.0,0.0,0.0
29600066,1610612738,1610612741,32,56,15,13,12,21,6,7,1.0,0.0,27.0,15.0,11.0,10.0,0.0,0.0
29600063,1610612756,1610612755,38,42,9,26,5,14,0,0,1.0,0.0,19.0,27.0,14.0,13.0,0.0,0.0
29600068,1610612745,1610612762,42,34,10,10,6,10,12,14,1.0,1.0,16.0,14.0,12.0,14.0,0.0,0.0
29600074,1610612752,1610612763,46,32,13,21,15,10,13,8,0.0,1.0,17.0,18.0,8.0,9.0,0.0,0.0
29600072,1610612747,1610612737,46,26,16,12,15,13,8,8,0.0,1.0,16.0,10.0,10.0,13.0,0.0,0.0
29600070,1610612739,1610612743,40,34,15,10,6,15,15,2,0.0,1.0,16.0,23.0,6.0,6.0,16.0,33.0
29600071,1610612750,1610612746,20,36,11,17,2,8,5,4,0.0,2.0,15.0,16.0,9.0,13.0,0.0,0.0
29600073,1610612759,1610612757,42,44,7,16,9,14,2,0,0.0,0.0,10.0,17.0,7.0,11.0,0.0,0.0
29600076,1610612741,1610612756,36,30,15,10,10,15,12,5,0.0,1.0,11.0,18.0,5.0,11.0,0.0,0.0
29600075,1610612743,1610612761,28,38,9,11,14,15,1,1,2.0,1.0,28.0,22.0,15.0,10.0,0.0,0.0
29600084,1610612750,1610612757,46,36,21,22,13,5,6,2,0.0,1.0,15.0,14.0,14.0,17.0,0.0,0.0
29600086,1610612745,1610612747,50,52,28,35,8,6,12,13,1.0,0.0,18.0,14.0,17.0,13.0,0.0,0.0
29600088,1610612763,1610612746,26,52,15,17,11,21,1,2,0.0,1.0,17.0,16.0,3.0,14.0,0.0,0.0
29600085,1610612754,1610612742,30,52,10,17,10,27,3,1,1.0,3.0,20.0,22.0,9.0,7.0,0.0,0.0
29600081,1610612748,1610612766,60,36,27,21,12,0,1,3,0.0,3.0,14.0,23.0,6.0,10.0,0.0,0.0
29600083,1610612756,1610612749,48,46,8,21,17,18,9,13,0.0,0.0,19.0,17.0,8.0,9.0,0.0,0.0
29600087,1610612760,1610612744,70,30,13,13,16,10,10,9,0.0,0.0,9.0,19.0,14.0,12.0,0.0,0.0
29600082,1610612739,1610612737,26,32,14,18,6,2,9,5,0.0,1.0,18.0,14.0,7.0,14.0,0.0,0.0
29600079,1610612755,1610612752,28,48,18,18,5,6,15,17,0.0,1.0,16.0,15.0,17.0,8.0,0.0,0.0
29600092,1610612757,1610612739,32,32,14,10,4,9,3,6,0.0,1.0,21.0,15.0,11.0,6.0,0.0,0.0
29600089,1610612738,1610612737,44,22,6,9,30,15,1,1,3.0,2.0,25.0,27.0,5.0,8.0,0.0,0.0
29600090,1610612751,1610612764,52,62,19,7,8,14,8,4,0.0,0.0,31.0,20.0,4.0,5.0,0.0,0.0
29600096,1610612762,1610612758,46,20,11,8,7,6,0,3,0.0,2.0,16.0,19.0,12.0,9.0,0.0,0.0
29600095,1610612759,1610612747,46,36,17,11,19,13,1,4,2.0,0.0,22.0,23.0,7.0,12.0,0.0,0.0
29600094,1610612748,1610612741,28,28,6,7,6,13,5,3,0.0,0.0,15.0,7.0,8.0,15.0,0.0,0.0
29600099,1610612742,1610612750,48,38,16,10,17,19,5,5,0.0,0.0,21.0,20.0,10.0,6.0,0.0,0.0
29600103,1610612756,1610612763,44,30,18,16,9,15,8,3,1.0,0.0,23.0,11.0,13.0,9.0,0.0,0.0
29600101,1610612760,1610612746,38,28,10,13,10,9,4,2,0.0,1.0,16.0,21.0,6.0,11.0,0.0,0.0
29600098,1610612766,1610612753,38,46,12,18,9,16,6,5,0.0,0.0,12.0,11.0,5.0,11.0,0.0,0.0
29600100,1610612754,1610612745,28,38,14,14,8,3,16,9,0.0,1.0,18.0,21.0,8.0,15.0,0.0,0.0
29600112,1610612746,1610612747,54,52,18,9,10,12,0,2,0.0,0.0,22.0,20.0,11.0,9.0,0.0,0.0
29600105,1610612751,1610612757,26,44,20,9,6,10,3,9,0.0,0.0,20.0,14.0,12.0,14.0,0.0,0.0
29600111,1610612763,1610612762,44,56,19,16,17,19,15,9,0.0,0.0,8.0,18.0,6.0,5.0,0.0,0.0
29600107,1610612766,1610612741,30,46,11,18,11,13,0,1,0.0,0.0,14.0,20.0,7.0,11.0,0.0,0.0
29600106,1610612739,1610612755,44,40,9,13,8,20,8,5,0.0,0.0,14.0,22.0,9.0,8.0,0.0,0.0
29600113,1610612758,1610612749,44,30,10,11,10,4,5,2,0.0,0.0,14.0,11.0,7.0,9.0,0.0,0.0
29600110,1610612754,1610612759,42,34,14,3,19,8,1,3,3.0,0.0,20.0,13.0,14.0,6.0,0.0,0.0
29600114,1610612752,1610612750,32,28,8,14,10,7,11,9,0.0,1.0,27.0,22.0,9.0,13.0,0.0,0.0
29600117,1610612753,1610612761,36,42,24,9,11,10,10,6,0.0,0.0,19.0,17.0,6.0,8.0,0.0,0.0
29600116,1610612764,1610612738,56,44,15,5,13,20,3,6,0.0,2.0,9.0,13.0,5.0,14.0,0.0,0.0
29600123,1610612760,1610612758,44,38,12,23,14,6,0,0,0.0,1.0,10.0,21.0,8.0,11.0,0.0,0.0
29600122,1610612744,1610612745,56,54,14,15,31,13,2,7,1.0,0.0,18.0,28.0,3.0,5.0,0.0,0.0
29600115,1610612743,1610612751,34,46,17,19,5,19,3,8,2.0,0.0,18.0,16.0,14.0,15.0,0.0,0.0
29600120,1610612737,1610612741,34,42,9,16,5,19,2,2,1.0,0.0,13.0,10.0,12.0,7.0,0.0,0.0
29600127,1610612746,1610612749,54,36,14,13,22,21,14,9,0.0,0.0,17.0,14.0,11.0,8.0,0.0,0.0
29600128,1610612760,1610612763,42,32,10,24,20,5,4,5,1.0,1.0,15.0,26.0,11.0,6.0,0.0,0.0
29600124,1610612754,1610612757,22,40,6,6,16,9,6,7,1.0,2.0,10.0,14.0,5.0,5.0,0.0,0.0
29600126,1610612747,1610612756,32,38,10,12,18,7,1,2,0.0,0.0,20.0,14.0,13.0,5.0,0.0,0.0
29600137,1610612757,1610612758,40,40,23,9,9,7,8,7,0.0,0.0,9.0,18.0,7.0,7.0,0.0,0.0
29600135,1610612743,1610612748,36,42,16,6,14,17,3,1,0.0,0.0,24.0,15.0,7.0,9.0,0.0,0.0
29600134,1610612745,1610612750,54,48,13,13,22,17,1,2,0.0,1.0,15.0,13.0,8.0,8.0,0.0,0.0
29600132,1610612739,1610612737,24,22,14,7,9,5,4,1,1.0,0.0,14.0,16.0,6.0,9.0,0.0,0.0
29600133,1610612749,1610612742,46,38,7,13,12,15,19,19,1.0,1.0,12.0,21.0,12.0,10.0,0.0,0.0
29600131,1610612761,1610612760,20,52,24,21,29,35,2,1,2.0,0.0,22.0,21.0,12.0,16.0,0.0,0.0
29600136,1610612744,1610612747,30,64,14,9,15,19,12,10,1.0,0.0,16.0,13.0,6.0,10.0,0.0,0.0
29600138,1610612765,1610612738,40,34,14,16,15,14,5,1,2.0,1.0,16.0,22.0,6.0,6.0,0.0,0.0
29600140,1610612760,1610612764,44,44,17,34,19,8,11,13,1.0,0.0,22.0,20.0,14.0,10.0,0.0,0.0
29600145,1610612763,1610612748,24,38,9,12,8,21,2,1,0.0,2.0,22.0,19.0,6.0,8.0,0.0,0.0
29600143,1610612756,1610612741,46,40,19,24,10,5,0,1,1.0,0.0,17.0,17.0,13.0,7.0,0.0,0.0
29600141,1610612766,1610612752,42,26,16,8,10,7,9,8,0.0,3.0,17.0,23.0,12.0,10.0,0.0,0.0
