person_id,display_first_last,position,season_exp,height,weight,from_year,to_year,height_inches
78515,Willie White,Guard,2.0,6-3,195.0,1984.0,1985.0,75.0
1628510,Andrew White III,Forward,2.0,6-7,210.0,2017.0,2017.0,79.0
1627785,Isaiah Whitehead,Guard,3.0,6-4,213.0,2016.0,2018.0,76.0
78516,Jerome Whitehead,Center,11.0,6-10,220.0,1978.0,1988.0,82.0
1126,Donald Whiteside,Guard,2.0,5-10,160.0,1996.0,1997.0,70.0
202355,Hassan Whiteside,Center,11.0,7-0,265.0,2010.0,2021.0,84.0
730,Dwayne Whitfield,Forward,1.0,6-7,240.0,1995.0,1995.0,79.0
78519,Charles Whitney,Forward,2.0,6-5,235.0,1980.0,1981.0,77.0
43,Chris Whitney,Guard,12.0,6-0,175.0,1993.0,2003.0,72.0
204222,Greg Whittington,Forward,1.0,6-8,210.0,2020.0,2020.0,80.0
203963,Shayne Whittington,Forward-Center,3.0,6-11,250.0,2014.0,2015.0,83.0
78520,Sidney Wicks,Forward,10.0,6-9,225.0,1971.0,1980.0,81.0
78521,Murray Wier,Guard,1.0,5-9,155.0,1949.0,1949.0,69.0
78522,Bob Wiesenhahn,Forward,1.0,6-4,215.0,1961.0,1961.0,76.0
1630580,Joe Wieskamp,Guard-Forward,2.0,6-6,205.0,2021.0,2023.0,78.0
1630598,Aaron Wiggins,Guard,2.0,6-5,190.0,2021.0,2023.0,77.0
203952,Andrew Wiggins,Forward,9.0,6-7,197.0,2014.0,2023.0,79.0
1629623,Lindell Wigginton,Guard,2.0,6-1,189.0,2021.0,2023.0,73.0
78524,Ken Wilburn,Forward,2.0,6-6,195.0,1967.0,1968.0,78.0
203912,C.J. Wilcox,Guard,4.0,6-5,195.0,2014.0,2017.0,77.0
2404,Chris Wilcox,Forward-Center,12.0,6-10,235.0,2002.0,2012.0,82.0
78525,D.C. Wilcutt,Guard,2.0,6-2,165.0,1948.0,1949.0,74.0
78526,Gene Wiley,Center,4.0,6-10,210.0,1962.0,1965.0,82.0
1628451,Jacob Wiley,Forward,1.0,6-8,223.0,2017.0,2017.0,80.0
78527,Michael Wiley,Forward,2.0,6-9,200.0,1980.0,1981.0,81.0
78528,Morlon Wiley,Guard,7.0,6-4,185.0,1988.0,1994.0,76.0
78529,Win Wilfong,Guard,4.0,6-2,185.0,1957.0,1960.0,74.0
78530,Lenny Wilkens,Guard,15.0,6-1,180.0,1960.0,1974.0,73.0
78531,Bob Wilkerson,Guard,7.0,6-6,195.0,1976.0,1982.0,78.0
78532,Jamaal Wilkes,Forward,12.0,6-6,190.0,1974.0,1985.0,78.0
78533,James Wilkes,Forward,3.0,6-7,195.0,1980.0,1982.0,79.0
2863,Damien Wilkins,Guard-Forward,10.0,6-6,217.0,2004.0,2017.0,78.0
1122,Dominique Wilkins,Forward,15.0,6-8,230.0,1982.0,1998.0,80.0
78534,Eddielee Wilkins,Center,6.0,6-10,220.0,1984.0,1992.0,82.0
786,Gerald Wilkins,Guard,13.0,6-6,185.0,1985.0,1998.0,78.0
78537,Jeff Wilkins,Center,6.0,6-10,230.0,1980.0,1985.0,82.0
78538,Dale Wilkinson,Forward,1.0,6-10,220.0,1984.0,1984.0,82.0
2366,Mike Wilks,Guard,8.0,5-10,180.0,2002.0,2009.0,70.0
1425,Aaron Williams,Center-Forward,14.0,6-9,235.0,1993.0,2007.0,81.0
1626210,Alan Williams,Forward-Center,5.0,6-8,265.0,2015.0,2018.0,80.0
1631214,Alondes Williams,Guard,1.0,6-4,210.0,2022.0,2022.0,76.0
1541,Alvin Williams,Guard,9.0,6-5,195.0,1997.0,2006.0,77.0
78539,Arthur Williams,Guard,7.0,6-1,180.0,1967.0,1973.0,73.0
78540,Bernie Williams,Guard,2.0,6-3,175.0,1969.0,1970.0,75.0
78564,Bob Williams,Forward,2.0,6-6,230.0,1955.0,1956.0,78.0
1585,Brandon Williams,Forward,4.0,6-6,215.0,1997.0,2002.0,78.0
1630314,Brandon Williams,Guard,2.0,6-2,190.0,2021.0,2021.0,74.0
433,Buck Williams,Forward,17.0,6-8,225.0,1981.0,1997.0,80.0
203710,C.J. Williams,Guard,3.0,6-5,226.0,2017.0,2018.0,77.0
78547,Chuck Williams,Guard,2.0,6-2,175.0,1976.0,1977.0,74.0
78541,Chuckie Williams,Guard,1.0,6-3,180.0,1976.0,1976.0,75.0
101258,Corey Williams,Guard,2.0,6-3,190.0,1992.0,1993.0,75.0
101114,Deron Williams,Guard,13.0,6-3,200.0,2005.0,2016.0,75.0
202682,Derrick Williams,Forward,7.0,6-8,240.0,2011.0,2017.0,80.0
78545,Don Williams,Guard,1.0,6-2,180.0,1979.0,1979.0,74.0
1631495,Donovan Williams,Guard,2.0,6-6,190.0,2022.0,2022.0,78.0
78546,Earl Williams,Center,4.0,6-7,230.0,1974.0,1978.0,79.0
202343,Elliot Williams,Guard,6.0,6-5,190.0,2010.0,2015.0,77.0
677,Eric Williams,Guard-Forward,12.0,6-8,220.0,1995.0,2006.0,80.0
78548,Freeman Williams,Guard,6.0,6-4,190.0,1978.0,1985.0,76.0
1629684,Grant Williams,Forward,4.0,6-6,236.0,2019.0,2023.0,78.0
78549,Gus Williams,Guard,11.0,6-2,175.0,1975.0,1986.0,74.0
78550,Guy Williams,Forward,2.0,6-9,200.0,1984.0,1985.0,81.0
1006,Herb Williams,Center,18.0,6-11,260.0,1981.0,1998.0,83.0
73,Hot Rod Williams,Center,13.0,6-11,245.0,1986.0,1998.0,83.0
1631114,Jalen Williams,Guard-Forward,1.0,6-5,211.0,2022.0,2023.0,77.0
1715,Jason Williams,Guard,12.0,6-1,180.0,1998.0,2010.0,73.0
2398,Jay Williams,Guard,1.0,6-2,195.0,2002.0,2002.0,74.0
1631119,Jaylin Williams,Forward,1.0,6-9,240.0,2022.0,2023.0,81.0
420,Jayson Williams,Forward,9.0,6-9,240.0,1990.0,1998.0,81.0
966,Jerome Williams,Forward-Center,10.0,6-9,206.0,1996.0,2004.0,81.0
78554,John Williams,Forward,8.0,6-8,235.0,1986.0,1994.0,80.0
1629140,Johnathan Williams,Forward,3.0,6-9,228.0,2018.0,2019.0,81.0
202716,Jordan Williams,Center,2.0,6-10,260.0,2011.0,2011.0,82.0
200818,Justin Williams,Forward-Center,3.0,6-10,260.0,2006.0,2007.0,82.0
78555,Kenny Williams,Forward,4.0,6-9,205.0,1990.0,1993.0,81.0
1629026,Kenrich Williams,Guard-Forward,5.0,6-6,210.0,2018.0,2023.0,78.0
78556,Kevin Williams,Guard,5.0,6-2,175.0,1983.0,1988.0,74.0
31,Lorenzo Williams,Forward,7.0,6-9,200.0,1992.0,1999.0,81.0
101150,Lou Williams,Guard,18.0,6-2,175.0,2005.0,2021.0,74.0
200766,Marcus Williams,Guard,5.0,6-3,205.0,2006.0,2009.0,75.0
201173,Marcus Williams,Guard,3.0,6-7,207.0,2007.0,2008.0,79.0
1631109,Mark Williams,Center,1.0,7-0,240.0,2022.0,2023.0,84.0
78558,Mike Williams,Guard,1.0,6-8,255.0,1989.0,1989.0,80.0
78560,Milt Williams,Guard,3.0,6-2,182.0,1970.0,1973.0,74.0
2590,Mo Williams,Guard,14.0,6-1,198.0,2003.0,2015.0,73.0
78561,Nate Williams,Guard,8.0,6-4,215.0,1971.0,1978.0,76.0
1630172,Patrick Williams,Forward,3.0,6-7,215.0,2020.0,2023.0,79.0
78566,Pete Williams,Forward,2.0,6-7,190.0,1985.0,1986.0,79.0
78571,Ray Williams,Guard,10.0,6-3,188.0,1977.0,1986.0,75.0
199,Reggie Williams,Unknown,10.0,,211.20112517580873,1987.0,1996.0,78.0584598088814
202130,Reggie Williams,Forward,7.0,6-6,205.0,2009.0,2016.0,78.0
78563,Rickey Williams,Guard,1.0,6-1,175.0,1982.0,1982.0,73.0
78565,Rob Williams,Guard,2.0,6-2,175.0,1982.0,1983.0,74.0
78567,Ron Williams,Guard,8.0,6-3,188.0,1968.0,1975.0,75.0
78568,Sam Williams,Guard,2.0,6-3,180.0,1968.0,1969.0,75.0
78569,Samuel Williams,Forward,4.0,6-8,210.0,1981.0,1984.0,80.0
281,Scott Williams,Forward-Center,16.0,6-10,260.0,1990.0,2004.0,82.0
201157,Sean Williams,Forward-Center,5.0,6-10,235.0,2007.0,2011.0,82.0
1742,Shammond Williams,Guard,7.0,6-1,201.0,1998.0,2006.0,73.0
200761,Shawne Williams,Forward,8.0,6-10,230.0,2006.0,2014.0,82.0
200749,Shelden Williams,Center-Forward,7.0,6-9,250.0,2006.0,2011.0,81.0
78570,Sly Williams,Forward,7.0,6-7,210.0,1979.0,1985.0,79.0
201944,Terrence Williams,Guard-Forward,5.0,6-6,220.0,2009.0,2012.0,78.0
1005,Walt Williams,Forward-Guard,12.0,6-8,230.0,1992.0,2002.0,80.0
78573,Ward Williams,Forward,1.0,6-4,195.0,1948.0,1948.0,76.0
78574,Willie Williams,Forward,1.0,6-7,200.0,1970.0,1970.0,79.0
1630533,Ziaire Williams,Forward,2.0,6-9,185.0,2021.0,2023.0,81.0
